ogc_fid,gml_id,id,codseccion,munide,nuevos_mun,codigo,cod_dep,nom_dep,cod_prov,nom_prov,cod_mun,cat_sec,nom_mun,cantones,poblacion,area,perimeter,prov,pob_tot,hombres,mujeres,tc_92_01,lengua,zlengua,adscrip,zadscrip,pueblos,anal_tot,anal_hom,anal_muj,tmi,part_per,tgf,tmn,nbi_92,nbi_01
1,indigena.1,225.0,090501,301.0,0.0,090501,9,Pando,5,Federico Roman,1,PRIMERA,Nuevo Manoa (Nueva Esperanza),2,472,3.656954459375E9,310623.978,Gral. Federico Roman,740.0,465.0,275.0,4.9,263.0,35.5,111.0,22.4,"Quechua,Aymara",9.6,4.6,19.3,97.1,61.8,6.8,198.0,89.2,93.0
2,indigena.2,191.0,090503,300.0,0.0,090503,9,Pando,5,Federico Roman,3,TERCERA,Santos Mercado,2,235,6.619925790813E9,413024.1,Gral. Federico Roman,509.0,351.0,158.0,8.4,31.0,6.1,18.0,4.9,Quechua,16.8,11.0,34.8,87.7,65.9,6.8,26.8,99.6,95.4
3,indigena.3,230.0,090402,298.0,0.0,090402,9,Pando,4,Abuna,2,SEGUNDA,Ingavi,2,1077,5.415384741E9,438539.979,Abuna,899.0,547.0,352.0,-2.0,84.0,9.3,24.0,4.7,Ninguno,24.0,21.4,28.8,57.3,25.0,6.8,13.5,99.4,99.1
4,indigena.4,234.0,090401,299.0,0.0,090401,9,Pando,4,Abun?,1,PRIMERA,Santa Rosa del Abun?,2,1575,3.872797173906E9,397644.495,Abuna,2097.0,1243.0,854.0,3.1,316.0,15.1,59.0,4.6,Quechua,28.3,26.3,32.3,69.3,47.9,6.9,10.9,99.5,88.7
5,indigena.5,233.0,090104,309.0,0.0,090104,9,Pando,1,Nicolas Suarez,4,CUARTA,Bella Flor,2,2834,5.754579929031E9,678699.199,Nicolas Suarez,2305.0,1341.0,964.0,-2.2,207.0,9.0,112.0,9.0,Quechua,25.5,21.6,32.8,56.8,44.4,4.5,52.2,99.5,95.3
6,indigena.6,224.0,080202,294.0,0.0,080202,8,Beni,2,Vaca Diez,2,SEGUNDA,Guayaramer?n,4,32273,6.515307107125E9,667256.18,Vaca Diez,40444.0,20715.0,19729.0,2.4,2870.0,7.1,2826.0,12.5,Mojeno,5.4,3.4,7.4,55.3,73.7,5.2,-16.6,69.2,58.6
7,indigena.7,231.0,090502,302.0,0.0,090502,9,Pando,5,Federico Roman,2,SEGUNDA,Villa Nueva (Loma Alta),2,809,2.822363046219E9,353407.351,Gral. Federico Roman,993.0,558.0,435.0,2.2,27.0,2.7,8.0,1.5,Guarani,10.3,7.1,15.1,113.7,28.4,6.8,28.9,99.8,100.0
8,indigena.8,220.0,080201,295.0,0.0,080201,8,Beni,2,Vaca Diez,1,PRIMERA,Riberalta,4,52378,9.7276782835E9,765445.806,Vaca Diez,75977.0,39033.0,36944.0,4.0,8257.0,10.9,4569.0,11.0,"Tacana,Mojeno,Cavineno",7.0,4.3,9.9,66.6,61.6,5.8,-10.0,86.5,81.5
9,indigena.9,281.0,090202,308.0,0.0,090202,9,Pando,2,Manuripi,2,SEGUNDA,San Pedro (Conquista),2,1347,2.630452410406E9,534405.814,Manuripi,1082.0,615.0,467.0,-2.4,50.0,4.6,83.0,15.7,"Tacana,Cavineno",18.3,11.0,29.3,100.8,19.7,8.2,-9.6,99.7,100.0
12,indigena.12,229.0,090201,307.0,0.0,090201,9,Pando,2,Manuripi,1,PRIMERA,Puerto Rico,3,3640,5.290757341375E9,539586.362,Manuripi,4003.0,2214.0,1789.0,1.0,216.0,5.4,195.0,9.2,"Mojeno,Quechua",10.9,5.8,18.3,82.8,40.5,8.2,32.3,97.4,86.6
13,indigena.13,190.0,090101,311.0,0.0,090101,9,Pando,1,Nicolas Suarez,1,CAPITAL,Cobija,1,11375,4.46532618063E8,129986.587,Nicolas Suarez,22324.0,11755.0,10569.0,7.3,3046.0,13.6,2957.0,21.3,"Aymara,Quechua",3.9,2.6,5.6,51.0,83.4,4.2,21.4,54.1,45.9
14,indigena.14,227.0,090102,312.0,0.0,090102,9,Pando,1,Nicolas Suarez,2,PRIMERA,Porvenir,2,3109,1.064225171891E9,241763.851,Nicolas Suarez,3713.0,2109.0,1604.0,1.9,246.0,6.6,122.0,5.7,Quechua,14.2,12.5,16.3,57.4,63.1,5.1,11.0,82.7,68.3
15,indigena.15,217.0,090302,304.0,0.0,090302,9,Pando,3,Madre De Dios,2,SEGUNDA,San Lorenzo,3,3067,3.16214851825E9,524222.535,Madre de Dios,3471.0,1889.0,1582.0,1.3,351.0,10.1,341.0,20.1,"Tacana,Cavineno",13.4,8.1,20.1,88.3,27.5,7.4,12.4,97.1,99.6
16,indigena.16,228.0,090203,306.0,0.0,090203,9,Pando,2,Manuripi,3,TERCERA,Filadelfia,3,2373,1.1779815697453E10,650579.402,Manuripi,3145.0,1818.0,1327.0,3.0,171.0,5.4,82.0,4.9,Quechua,12.5,8.7,18.8,73.9,39.7,8.2,28.9,99.7,97.1
26,indigena.26,294.0,080802,285.0,0.0,080802,8,Beni,8,Itenez,2,SEGUNDA,Baures,2,5133,1.78078966155629E10,891187.784,Itenez,5264.0,2829.0,2435.0,0.3,500.0,9.5,389.0,13.6,"Chiquitano,Baure",9.1,6.3,12.8,50.4,56.1,5.4,1.9,93.0,89.8
27,indigena.27,293.0,080803,286.0,0.0,080803,8,Beni,8,Itenez,3,TERCERA,Huacaraje,2,3355,4.496646897625E9,366933.582,Itenez,3706.0,2067.0,1639.0,1.1,191.0,5.2,226.0,10.9,"Mojeno,Itonama",8.0,5.6,11.5,52.3,64.0,5.4,13.0,96.5,88.7
28,indigena.28,243.0,080401,297.0,0.0,080401,8,Beni,4,Yacuma,1,PRIMERA,Santa Ana de Yacuma,2,21101,2.01073053561879E10,1065942.635,Yacuma,18654.0,9567.0,9087.0,-1.3,2158.0,11.6,4252.0,43.1,Mojeno,9.7,6.7,12.8,51.5,60.3,5.7,-31.1,80.0,68.3
29,indigena.29,192.0,070301,275.0,0.0,070301,7,Santa Cruz,3,Velasco,1,PRIMERA,San Ignacio de Velasco,3,31594,4.9955933115625E10,1380644.99,Velasco,41412.0,21251.0,20161.0,2.9,4741.0,11.5,17462.0,81.6,Chiquitano,11.8,6.9,17.1,56.6,56.9,6.5,2.6,86.5,75.2
30,indigena.30,307.0,071101,262.0,0.0,071101,7,Santa Cruz,11,?uflo De Chavez,1,PRIMERA,Concepci?n,3,14277,3.55688856685E10,1234603.48,Nuflo de Chavez,14522.0,7893.0,6629.0,0.2,2178.0,15.0,5785.0,74.9,Chiquitano,20.0,14.1,27.7,55.8,50.4,6.5,6.4,94.0,84.6
31,indigena.31,249.0,020701,44.0,0.0,020701,2,La Paz,7,Franz Tamayo,1,PRIMERA,Apolo,5,12877,1.3862459298539E10,767208.746,Franz Tamayo,13271.0,6938.0,6333.0,0.3,12170.0,91.7,6139.0,85.2,Quechua,26.9,18.4,37.3,50.1,14.8,6.9,-9.7,97.0,98.1
32,indigena.32,246.0,021502,30.0,0.0,021502,2,La Paz,15,Abel Iturralde,2,SEGUNDA,San Buenaventura,3,4608,2.82202495459399E9,343153.352,Abel Iturralde,6203.0,3378.0,2825.0,3.2,1899.0,30.6,1801.0,53.4,"Tacana,Quechua,Esse-ejja",13.3,7.7,20.6,54.5,46.2,6.0,9.2,91.3,84.9
43,indigena.43,261.0,080602,292.0,0.0,080602,8,Beni,6,Marban,2,SEGUNDA,San Andr?s,3,8271,9.41494398331299E9,656655.494,Marban,10595.0,5892.0,4703.0,2.7,1410.0,13.3,2484.0,45.7,Mojeno,12.9,9.7,17.3,62.8,46.8,7.0,29.6,98.0,97.5
44,indigena.44,312.0,021104,103.0,0.0,021104,2,La Paz,11,Sur Yungas,4,CUARTA,Palos Blancos,1,12643,3.589759686984E9,438716.582,Sur Yungas,16691.0,9305.0,7386.0,3.0,9278.0,55.6,7418.0,78.2,"Aymara,Quechua,Moseten",11.4,5.0,20.0,66.9,39.4,6.5,15.1,96.5,90.5
10,indigena.10,218.0,090301,303.0,0.0,090301,9,Pando,3,Madre De Dios,1,PRIMERA,Puerto Gonzales Moreno,2,2837,1.291554556219E9,281321.255,Madre de Dios,3810.0,2012.0,1798.0,3.2,710.0,18.6,568.0,29.1,"Ess-ejja,Cavineno,Tacana",12.7,8.2,18.3,73.1,32.5,7.4,10.5,96.5,98.8
11,indigena.11,226.0,090103,310.0,0.0,090103,9,Pando,1,Nicolas Suarez,3,SEGUNDA,Bolpebra,2,1129,2.562754867453E9,284372.483,Nicolas Suarez,1194.0,712.0,482.0,0.6,199.0,16.7,127.0,17.8,Quechua,25.6,21.7,32.8,74.9,57.1,4.5,0.4,99.9,95.5
17,indigena.17,296.0,090303,305.0,0.0,090303,9,Pando,3,Madre De Dios,3,TERCERA,El Sena,2,2193,7.597404465531E9,411052.61,Madre de Dios,2240.0,1311.0,929.0,0.2,122.0,5.5,132.0,10.6,"Tacana,Quechua",11.5,6.0,21.5,100.3,32.5,7.4,38.8,99.5,96.1
18,indigena.18,222.0,080303,284.0,0.0,080303,8,Beni,3,General Jose Ballivi,3,TERCERA,Santa Rosa,1,7212,1.2078708060031E10,1244284.133,Gral. Jose Ballivian,9016.0,4755.0,4261.0,2.4,715.0,7.9,535.0,11.1,Mojeno,10.7,7.0,15.0,54.6,51.8,6.1,22.6,95.7,89.8
19,indigena.19,223.0,080301,281.0,0.0,080301,8,Beni,3,General Jose Ballivi,1,PRIMERA,Reyes,2,6892,1.2595896778781E10,1309629.818,Gral. Jose Ballivian,11127.0,5862.0,5265.0,5.2,1259.0,11.3,3907.0,61.4,"Reyesano,Cavineno,Mojeno",9.3,7.0,12.1,53.7,52.9,5.8,-27.0,89.7,84.3
20,indigena.20,297.0,021501,29.0,0.0,021501,2,La Paz,15,Abel Iturralde,1,PRIMERA,Ixiamas,1,3618,3.7190089831578E10,1205072.294,Abel Iturralde,5625.0,3226.0,2399.0,4.8,1714.0,30.5,1209.0,38.0,"Tacana,Aymara,Araona",11.7,6.9,19.4,66.8,43.1,6.7,48.5,99.7,90.6
21,indigena.21,236.0,080701,289.0,0.0,080701,8,Beni,7,Mamore,1,PRIMERA,San Joaqu?n,2,4233,8.727401642125E9,956100.304,Mamore,5452.0,2932.0,2520.0,2.8,456.0,8.4,963.0,31.0,"Mojeno,Baure",8.3,5.1,12.4,53.8,66.2,5.2,-13.3,86.9,80.1
22,indigena.22,235.0,080703,288.0,0.0,080703,8,Beni,7,Mamore,3,TERCERA,Puerto Siles,3,1019,2.078558827469E9,297642.013,Mamore,1018.0,555.0,463.0,-0.4,90.0,8.8,159.0,30.1,"Movima,Joaquiniano",9.3,6.6,13.0,70.1,44.6,5.4,14.4,99.3,97.1
23,indigena.23,221.0,080402,296.0,0.0,080402,8,Beni,4,Yacuma,2,SEGUNDA,Exaltacion,1,3967,2.4993035774375E10,795078.123,Yacuma,9247.0,5176.0,4071.0,9.1,1302.0,14.1,1667.0,34.7,"Movima,Cayubaba",14.3,11.3,18.6,56.2,37.9,7.3,22.3,98.0,94.7
24,indigena.24,237.0,080801,287.0,0.0,080801,8,Beni,8,Itenez,1,PRIMERA,Magdalena,3,7812,1.37463758968129E10,610946.21,Itenez,9908.0,5255.0,4653.0,2.6,1000.0,10.1,1002.0,19.1,"Itonama,Baure",7.6,5.2,10.4,38.0,60.6,5.7,-14.8,87.3,86.7
25,indigena.25,238.0,080702,290.0,0.0,080702,8,Beni,7,Mamore,2,SEGUNDA,San Ram?n,2,4803,1.01297544773129E10,780724.344,Mamore,5927.0,3188.0,2739.0,2.3,493.0,8.3,473.0,13.8,"Itonama,Mojeno",7.6,6.0,9.7,42.4,72.2,5.6,-4.5,86.5,74.6
33,indigena.33,259.0,080102,279.0,0.0,080102,8,Beni,1,Cercado1,2,PRIMERA,San Javier,2,2175,8.21615966767199E9,477214.75,Cercado,2690.0,1523.0,1167.0,2.3,260.0,9.7,519.0,35.2,"Mojeno,Canichana",11.8,8.8,16.5,70.3,46.3,6.8,28.1,93.4,97.4
34,indigena.34,264.0,080501,293.0,0.0,080501,8,Beni,5,Moxos,1,PRIMERA,San Ignacio,3,17602,2.0037660612E10,1256944.658,Moxos,21643.0,11606.0,10037.0,2.2,6346.0,29.3,9009.0,81.7,Mojeno,18.0,12.9,24.2,64.8,42.2,7.4,-1.3,93.9,92.5
35,indigena.35,263.0,071502,256.0,0.0,071502,7,Santa Cruz,15,Guarayos,2,SEGUNDA,Urubicha,3,4731,1.05728664645629E10,736645.68,Guarayos,5960.0,3039.0,2921.0,2.5,5525.0,92.7,2663.0,92.7,"Guarayos,Mojeno",9.4,5.4,13.4,45.7,52.9,6.5,-0.2,99.1,97.2
36,indigena.36,248.0,080302,283.0,0.0,080302,8,Beni,3,General Jose Ballivi,2,SEGUNDA,San Borja,1,24251,1.34489136655E10,591075.515,Gral. Jose Ballivian,34363.0,18073.0,16290.0,3.8,11731.0,34.1,7837.0,42.7,"Chiman,Aymara",18.7,14.1,23.9,53.5,43.5,6.1,-4.0,93.3,86.3
37,indigena.37,247.0,080304,282.0,0.0,080304,8,Beni,3,General Jose Ballivi,4,CUARTA,Rurrenabaque,1,9065,2.51736015125E9,297861.689,Gral. Jose Ballivian,13668.0,7447.0,6221.0,4.4,3971.0,29.1,3364.0,43.1,"Aymara,Tacana,Chiman",11.0,7.5,15.7,62.3,47.4,5.7,6.5,85.5,82.5
38,indigena.38,262.0,071501,254.0,0.0,071501,7,Santa Cruz,15,Guarayos,1,PRIMERA,Ascenci?n de Guarayos,3,11137,8.749565858906E9,924727.646,Guarayos,16984.0,8952.0,8032.0,4.6,6910.0,40.7,5360.0,61.1,Quechua,11.1,7.0,15.9,50.5,64.1,6.2,11.4,94.8,87.5
39,indigena.39,284.0,020702,45.0,0.0,020702,2,La Paz,7,Franz Tamayo,2,SEGUNDA,Pelechuco,4,4742,2.52181799192999E9,305234.899,Franz Tamayo,5115.0,2729.0,2386.0,0.8,4968.0,97.1,2842.0,95.5,"Quechua,Aymara",26.7,13.6,41.8,104.4,16.5,6.2,-8.1,98.8,99.0
40,indigena.40,15.0,021602,38.0,0.0,021602,2,La Paz,16,Bautista Saavedra,2,SEGUNDA,Curva,8,1589,5.95125121875E8,157750.333,Bautista Saavedra,2213.0,1074.0,1139.0,3.6,2196.0,99.2,1316.0,98.5,"Quechua,Aymara",36.0,13.8,56.4,90.9,9.9,5.5,-7.9,99.4,98.5
41,indigena.41,219.0,080101,280.0,0.0,080101,8,Beni,1,Cercado1,1,CAPITAL,Trinidad,1,60953,2.550975256125E9,331810.212,Cercado,79963.0,40261.0,39702.0,2.9,6872.0,8.6,20871.0,42.6,Mojeno,4.5,2.6,6.3,53.6,81.3,3.9,-5.7,61.3,58.5
42,indigena.42,286.0,021601,39.0,0.0,021601,2,La Paz,16,Bautista Saavedra,1,PRIMERA,Charazani (Gral.Perez),7,8406,2.567244145352E9,305796.455,Bautista Saavedra,9262.0,4786.0,4476.0,1.0,9133.0,98.6,5151.0,96.7,"Quechua,Aymara",37.6,18.7,57.8,90.5,9.3,7.2,-9.6,98.1,98.4
45,indigena.45,265.0,080601,291.0,0.0,080601,8,Beni,6,Marban,1,PRIMERA,Loreto,4,3679,5.385361335875E9,497142.526,Marban,3859.0,2162.0,1697.0,0.5,749.0,19.4,1165.0,60.1,Mojeno,18.1,13.6,24.2,77.9,40.4,6.8,0.7,99.5,96.4
46,indigena.46,311.0,020608,317.0,1.0,020608,2,La Paz,6,Larecaja,8,OCTAVA,Teoponte,,,1.589880002891E9,247277.16,Larecaja,7109.0,3983.0,3126.0,-3.1,3590.0,55.5,3190.0,76.6,"Aymara,Quechua",12.9,7.8,20.1,75.7,10.2,6.1,-3.4,91.7,88.5
47,indigena.47,309.0,020607,316.0,1.0,020607,2,La Paz,6,Larecaja,7,SEPTIMA,Mapiri,,,1.37005590617199E9,260327.241,Larecaja,9633.0,5083.0,4550.0,0.5,4668.0,54.9,3969.0,76.1,"Quechua,Aymara",13.6,8.9,19.3,76.0,13.9,6.1,-4.6,91.7,93.2
48,indigena.48,22.0,020502,81.0,0.0,020502,2,La Paz,5,Mu?ecas,2,SEGUNDA,Ayata,2,5140,6.65236089445E8,171673.468,Mu?ecas,8143.0,4048.0,4095.0,5.0,8100.0,99.5,4115.0,91.2,"Quechua,Aymara",45.6,27.1,63.5,96.1,6.3,6.5,-9.3,99.1,99.8
49,indigena.49,310.0,020602,63.0,0.0,020602,2,La Paz,6,Larecaja,2,SEGUNDA,Guanay,9,27319,3.93803010029699E9,484755.378,Larecaja,11528.0,6199.0,5329.0,3.1,5218.0,48.7,6029.0,95.6,"Aymara,Leco",12.7,7.0,19.7,78.0,16.6,6.1,-5.5,91.7,81.5
50,indigena.50,24.0,020603,66.0,0.0,020603,2,La Paz,6,Larecaja,3,TERCERA,Tacacoma,5,6881,8.19801814641E8,200656.326,Larecaja,6269.0,3408.0,2861.0,-1.0,5385.0,85.9,3410.0,90.4,"Aymara,Quechua",23.9,15.1,35.2,59.9,20.5,4.5,-17.4,95.3,95.2
51,indigena.51,212.0,020402,40.0,0.0,020402,2,La Paz,4,Camacho,2,SEGUNDA,Mocomoco,5,13694,5.26136475945E8,172387.938,Camacho,13950.0,7098.0,6852.0,0.3,13590.0,97.4,8180.0,95.3,Aymara,38.2,21.4,55.0,69.9,8.2,6.5,-19.0,98.9,98.7
52,indigena.52,244.0,022001,43.0,0.0,022001,2,La Paz,20,Caranavi,1,PRIMERA,Caranavi,22,43093,3.065536959375E9,350557.807,Caranavi,51153.0,28092.0,23061.0,1.9,32113.0,62.8,24830.0,82.0,Aymara,11.4,5.9,18.6,76.8,34.8,5.5,0.0,95.2,86.6
